"Date","Market Cap"
"2001-10-03",32625600000
"2001-10-04",32729300000
"2001-10-07",33963600000
"2001-10-08",33611000000
"2001-10-09",35229000000
"2001-10-10",39460900000
"2001-10-11",38402900000
"2001-10-14",37168600000
"2001-10-15",40902600000
"2001-10-16",41571600000
"2001-10-17",39777200000
"2001-10-18",39917200000
"2001-10-21",42733300000
"2001-10-22",43298500000
"2001-10-23",45445600000
"2001-10-24",46679900000
"2001-10-25",48972100000
"2001-10-28",46892500000
"2001-10-29",44247600000
"2001-10-30",45481900000
"2001-10-31",46752500000
"2001-11-01",47385200000
"2001-11-04",50273800000
"2001-11-05",50030100000
"2001-11-06",51082800000
"2001-11-07",52140800000
"2001-11-08",51051700000
"2001-11-11",50906500000
"2001-11-12",54044100000
"2001-11-13",53551400000
"2001-11-14",54993200000
"2001-11-15",57249100000
"2001-11-18",56969000000
"2001-11-19",53624000000
"2001-11-20",55843700000
"2001-11-22",55314700000
"2001-11-25",58483400000
"2001-11-26",57638000000
"2001-11-27",53971500000
"2001-11-28",56720100000
"2001-11-29",56123700000
"2001-12-02",57425400000
"2001-12-03",61761000000
"2001-12-04",67221899999.99999
"2001-12-05",66376600000.00001
"2001-12-06",65987600000.00001
"2001-12-09",63311600000
"2001-12-10",64862300000
"2001-12-11",66760399999.99999
"2001-12-12",63062700000
"2001-12-13",64893400000
"2001-12-16",64862300000
"2001-12-17",64400700000
"2001-12-18",61652100000
"2001-12-19",59930300000
"2001-12-20",57072800000
"2001-12-23",56367500000
"2001-12-25",57565400000
"2001-12-26",59048700000
"2001-12-27",59717700000
"2002-12-30",26256900000
"2003-01-01",27114200000
"2003-01-02",27747200000
"2003-01-05",28494900000
"2003-01-06",28604500000
"2003-01-07",27373400000
"2003-01-08",28863700000
"2003-01-09",29795700000
"2003-01-12",30912200000
"2003-01-13",30802500000
"2003-01-14",31884100000
"2003-01-15",30169600000
"2003-01-16",28270600000
"2003-01-20",28121000000
"2003-01-21",28305400000
"2003-01-22",30543400000
"2003-01-23",28828800000
"2003-01-26",27896700000
"2003-01-27",26630700000
"2003-01-28",26815200000
"2003-01-29",25514300000
"2003-01-30",24956000000
"2003-02-02",25623900000
"2003-02-03",25324900000
"2003-02-04",26521100000
"2003-02-05",25290000000
"2003-02-06",24881300000
"2003-02-09",24098800000
"2003-02-10",24098800000
"2003-02-11",24248300000
"2003-02-12",23839600000
"2003-02-13",25514300000
"2003-02-17",26331700000
"2003-02-18",25997800000
"2003-02-19",27597700000
"2003-02-20",27822000000
"2003-02-23",27079300000
"2003-02-24",26815200000
"2003-02-25",26296800000
"2003-02-26",26032600000
"2003-02-27",26406500000
"2003-03-02",27079300000
"2003-03-03",25997800000
"2003-03-04",25215200000
"2003-03-05",25474400000
"2003-03-06",25923000000
"2003-03-09",25549200000
"2003-03-10",26107400000
"2003-03-11",26705500000
"2003-03-12",28754000000
"2003-03-13",28679300000
"2003-03-16",29312300000
"2003-03-17",30578300000
"2003-03-18",30503500000
"2003-03-19",30952100000
"2003-03-20",31620000000
"2003-03-23",29611300000
"2003-03-24",30129700000
"2003-03-25",28230700000
"2003-03-26",28494900000
"2003-03-27",27562800000
"2003-03-30",25474400000
"2003-03-31",25698700000
"2003-04-01",27787100000
"2003-04-02",27936600000
"2003-04-03",27896700000
"2003-04-06",28863700000
"2003-04-07",28380200000
"2003-04-08",28081200000
"2003-04-09",27787100000
"2003-04-10",27488000000
"2003-04-13",28155900000
"2003-04-14",27522900000
"2003-04-15",28714200000
"2003-04-16",29127800000
"2003-04-20",29646200000
"2003-04-21",30468600000
"2003-04-22",30727800000
"2003-04-23",28828800000
"2003-04-24",28230700000
"2003-04-27",28644400000
"2003-04-28",32033700000
"2003-04-29",31176400000
"2003-04-30",31694700000
"2003-05-01",33000600000
"2003-05-04",32811199999.999996
"2003-05-05",32402500000
"2003-05-06",31809400000
"2003-05-07",30653000000
"2003-05-08",32517100000
"2003-05-11",33150100000
"2003-05-12",33409300000.000004
"2003-05-13",33633600000
"2003-05-14",34266600000
"2003-05-15",33334500000
"2003-05-18",31659800000
"2003-05-19",31545200000
"2003-05-20",31360800000
"2003-05-21",32517100000
"2003-05-22",32178200000
"2003-05-26",33967500000
"2003-05-27",35273400000
"2003-05-28",36130700000
"2003-05-29",37765500000
"2003-06-01",37915000000
"2003-06-02",35532600000
"2003-06-03",37655900000
"2003-06-04",39370400000
"2003-06-05",39629600000
"2003-06-08",38179200000
"2003-06-09",38697600000
"2003-06-10",37954900000
"2003-06-11",38622800000
"2003-06-12",37247200000
"2003-06-15",37840300000
"2003-06-16",39480100000
"2003-06-17",39704400000
"2003-06-18",39664500000
"2003-06-19",39146200000
"2003-06-22",37730600000
"2003-06-23",37132500000
"2003-06-24",37321900000
"2003-06-25",37321900000
"2003-06-26",37097600000
"2003-06-29",37546200000
"2003-06-30",38737400000
"2003-07-01",40746100000
"2003-07-02",40337400000
"2003-07-06",41154800000
"2003-07-07",42116800000
"2003-07-08",42719800000
"2003-07-09",40227700000
"2003-07-10",40666300000
"2003-07-13",41752900000
"2003-07-14",41593400000
"2003-07-15",41917400000
"2003-07-16",39903800000
"2003-07-17",39664500000
"2003-07-20",38578000000
"2003-07-21",39744300000
"2003-07-22",40506800000
"2003-07-23",39664500000
"2003-07-24",39619700000
"2003-07-27",39943600000
"2003-07-28",38896900000
"2003-07-29",38134400000
"2003-07-30",40227700000
"2003-07-31",40626500000
"2003-08-03",40746100000
"2003-08-04",39863900000
"2003-08-05",40227700000
"2003-08-06",40227700000
"2003-08-07",37974900000
"2003-08-10",38293800000
"2003-08-11",38936800000
"2003-08-12",40267600000
"2003-08-13",40870700000
"2003-08-14",41229600000
"2003-08-17",43083700000
"2003-08-18",43806400000
"2003-08-19",44045700000
"2003-08-20",45894800000
"2003-08-21",46099200000
"2003-08-24",46059300000
"2003-08-25",46099200000
"2003-08-26",47464800000
"2003-08-27",47066100000
"2003-08-28",47385100000
"2003-09-01",48710900000
"2003-09-02",47305300000
"2003-09-03",47868600000
"2003-09-04",49438600000
"2003-09-07",51970600000
"2003-09-08",50201200000
"2003-09-09",47345200000
"2003-09-10",48995000000
"2003-09-11",48471600000
"2003-09-14",45456200000
"2003-09-15",47066100000
"2003-09-16",46901600000
"2003-09-17",47145800000
"2003-09-18",46582600000
"2003-09-21",45052500000
"2003-09-22",45416300000
"2003-09-23",44045700000
"2003-09-24",43602100000
"2003-09-25",43646900000
"2003-09-28",44369600000
"2003-09-29",43562200000
"2003-09-30",44250000000
"2003-10-01",45735300000
"2003-10-02",48147700000
"2003-10-05",48192500000
"2003-10-06",47305300000
"2003-10-07",46099200000
"2003-10-08",45655600000
"2003-10-09",47225600000
"2003-10-12",47709100000
"2003-10-13",46782000000
"2003-10-14",45939700000
"2003-10-15",46378300000
"2003-10-16",44688600000
"2003-10-19",44932800000
"2003-10-20",44608900000
"2003-10-21",43083700000
"2003-10-22",42236400000
"2003-10-23",42196500000
"2003-10-26",41997100000
"2003-10-27",46502900000
"2003-10-28",46782000000
"2003-10-29",45655600000
"2003-10-30",44489200000
"2003-11-02",46139000000
"2003-11-03",45939700000
"2003-11-04",46821900000
"2003-11-05",45775200000
"2003-11-06",45939700000
"2003-11-09",43322900000
"2003-11-10",42719800000
"2003-11-11",44250000000
"2003-11-12",44165300000
"2003-11-13",43766500000
"2003-11-16",42839500000
"2003-11-17",42959100000
"2003-11-18",43038800000
"2003-11-19",42316100000
"2003-11-20",43038800000
"2003-11-23",43806400000
"2003-11-24",43965900000
"2003-11-25",43926000000
"2003-11-27",43726700000
"2003-11-30",44569000000
"2003-12-01",45456200000
"2003-12-02",45052500000
"2003-12-03",44813200000
"2003-12-04",43402700000
"2003-12-07",42475600000
"2003-12-08",40706200000
"2003-12-09",39619700000
"2003-12-10",41633300000
"2003-12-11",40626500000
"2003-12-14",40063300000
"2003-12-15",39420300000
"2003-12-16",38014700000
"2003-12-17",39340500000
"2003-12-18",39824000000
"2003-12-21",40182900000
"2003-12-22",40023400000
"2003-12-23",39744300000
"2003-12-25",39704400000
"2003-12-28",40307500000
"2003-12-29",40706200000
"2003-12-30",41189700000
"2004-01-01",42959100000
"2004-01-04",43886200000
"2004-01-05",43926000000
"2004-01-06",43482400000
"2004-01-07",45052500000
"2004-01-08",45655600000
"2004-01-11",44972700000
"2004-01-12",43203300000
"2004-01-13",43806400000
"2004-01-14",44250000000
"2004-01-15",45615700000
"2004-01-19",46782000000
"2004-01-20",46178900000
"2004-01-21",45615700000
"2004-01-22",44250000000
"2004-01-25",46059300000
"2004-01-26",45376400000
"2004-01-27",45052500000
"2004-01-28",44085500000
"2004-01-29",44972700000
"2004-02-01",43926000000
"2004-02-02",43038800000
"2004-02-03",41513700000
"2004-02-04",42839500000
"2004-02-05",44489200000
"2004-02-08",44005800000
"2004-02-09",44369600000
"2004-02-10",44165300000
"2004-02-11",43806400000
"2004-02-12",42759700000
"2004-02-16",43402700000
"2004-02-17",42799600000
"2004-02-18",42356000000
"2004-02-19",41872500000
"2004-02-22",41433900000
"2004-02-23",41872500000
"2004-02-24",42560400000
"2004-02-25",42196500000
"2004-02-26",41792800000
"2004-02-29",43806400000
"2004-03-01",45052500000
"2004-03-02",44250000000
"2004-03-03",45331600000
"2004-03-04",45052500000
"2004-03-07",43362800000
"2004-03-08",42919200000
"2004-03-09",41832700000
"2004-03-10",40870700000
"2004-03-11",42395900000
"2004-03-14",41229600000
"2004-03-15",41109900000
"2004-03-16",41354200000
"2004-03-17",41752900000
"2004-03-18",40950400000
"2004-03-21",37411600000
"2004-03-22",39824000000
"2004-03-23",41229600000
"2004-03-24",41354200000
"2004-03-25",40143000000
"2004-03-28",41792800000
"2004-03-29",42116800000
"2004-03-30",41997100000
"2004-03-31",41513700000
"2004-04-01",42356000000
"2004-04-04",43522300000
"2004-04-05",43283100000
"2004-04-06",42759700000
"2004-04-07",42156600000
"2004-04-11",42879300000
"2004-04-12",42680000000
"2004-04-13",43243200000
"2004-04-14",42116800000
"2004-04-15",41553500000
"2004-04-18",41553500000
"2004-04-19",41229600000
"2004-04-20",42356000000
"2004-04-21",43482400000
"2004-04-22",45251800000
"2004-04-25",44005800000
"2004-04-26",42919200000
"2004-04-27",41229600000
"2004-04-28",40063300000
"2004-04-29",38333700000
"2004-05-02",38617800000
"2004-05-03",39744300000
"2004-05-04",38817200000
"2004-05-05",38014700000
"2004-05-06",38498200000
"2004-05-09",37650900000
"2004-05-10",39420300000
