Date,Open,High,Low,Close,% Change,Volume
2/1984,0.77,0.80,0.65,0.78,0.013600000000000001,823686576
1/1984,0.87,0.91,0.70,0.77,-0.125,604444992
12/1983,0.87,0.90,0.82,0.88,0.006,351932928
11/1983,0.79,0.90,0.73,0.87,0.1059,516496176
10/1983,0.86,0.92,0.77,0.79,-0.0848,527520144
9/1983,0.85,0.96,0.83,0.86,0.0060999999999999995,511913808
8/1983,0.84,0.86,0.74,0.85,0.0187,582249744
7/1983,0.78,1.03,0.73,0.84,0.0805,688473744
6/1983,0.59,0.81,0.57,0.78,0.3011,576096000
5/1983,0.52,0.62,0.50,0.60,0.1567,519955200
4/1983,0.50,0.52,0.45,0.52,0.0259,400540800
3/1983,0.48,0.51,0.43,0.50,0.037599999999999995,512179200
2/1983,0.45,0.49,0.44,0.48,0.0815,500918400
1/1983,0.40,0.49,0.39,0.45,0.10980000000000001,698688000
12/1982,0.40,0.43,0.36,0.40,0.0131,789628800
11/1982,0.39,0.43,0.34,0.40,0.03,709046400
10/1982,0.34,0.43,0.34,0.39,0.134,657244800
9/1982,0.37,0.42,0.34,0.34,-0.10890000000000001,821433600
8/1982,0.34,0.39,0.28,0.38,0.1396,850387200
7/1982,0.33,0.35,0.30,0.34,0.032,387024000
6/1982,0.31,0.33,0.29,0.33,0.033,335548800
5/1982,0.33,0.36,0.31,0.32,-0.039599999999999996,384432000
4/1982,0.30,0.34,0.29,0.33,0.0955,517612800
3/1982,0.28,0.30,0.24,0.30,0.1276,345552000
2/1982,0.26,0.27,0.25,0.27,-0.0192,238080000
1/1982,0.24,0.28,0.22,0.27,0.1553,375302400
12/1981,0.26,0.27,0.23,0.23,-0.0998,280924800
11/1981,0.30,0.31,0.25,0.26,-0.1229,213916800
10/1981,0.25,0.30,0.25,0.30,0.1754,256646400
9/1981,0.30,0.32,0.24,0.25,-0.134,278121600
8/1981,0.35,0.35,0.29,0.29,-0.1704,163324800
7/1981,0.37,0.38,0.34,0.35,-0.062400000000000004,189408000
6/1981,0.42,0.42,0.36,0.38,-0.122,214953600
5/1981,0.39,0.44,0.37,0.43,0.0862,220483200
4/1981,0.38,0.42,0.37,0.39,0.041299999999999996,286550400
3/1981,0.38,0.39,0.34,0.38,0.035699999999999996,290102400
2/1981,0.38,0.42,0.34,0.36,-0.0603,319046400
1/1981,0.42,0.44,0.39,0.39,-0.0746,211804800
12/1980,0.45,0.47,0.40,0.42,-0.1344,309139200
11/1980,0.44,0.52,0.44,0.48,0.1072,189840000
10/1980,0.47,0.52,0.43,0.44,-0.056100000000000004,214358400
9/1980,0.46,0.50,0.45,0.46,0.0171,179904000
8/1980,0.44,0.49,0.43,0.46,0.032400000000000005,274444800
7/1980,0.35,0.44,0.35,0.44,0.2891,288806400
6/1980,0.36,0.36,0.34,0.34,-0.0333,214003200
5/1980,0.32,0.36,0.32,0.35,0.1103,191712000
4/1980,0.32,0.33,0.29,0.32,-0.008100000000000001,252595200
3/1980,0.33,0.34,0.30,0.32,0,162451200
