Date,Open,High,Low,Close,% Change,Volume
4/2010,22.40,24.37,22.16,22.84,0.024700000000000003,1550379100
3/2010,20.68,22.75,20.26,22.29,0.0857,1290896200
2/2010,19.47,20.97,18.95,20.53,0.0582,1125494400
1/2010,20.79,21.55,19.30,19.40,-0.049,1509082400
12/2009,19.46,21.14,19.00,20.40,0.0625,1038055000
11/2009,19.05,20.50,18.31,19.20,0.004699999999999999,1184437600
10/2009,19.49,21.27,18.74,19.11,-0.0235,1704082000
9/2009,20.22,20.58,19.23,19.57,-0.0369,988903204
8/2009,19.48,20.65,18.41,20.32,0.0556,1109221900
7/2009,16.67,19.80,15.78,19.25,0.1631,1726189600
6/2009,16.03,16.70,15.61,16.55,0.0528,1304048600
5/2009,15.76,16.74,15.00,15.72,-0.0038,1338935300
4/2009,14.77,16.39,14.62,15.78,0.0499,1505340900
3/2009,12.54,15.89,12.07,15.03,0.1797,1633445000
2/2009,12.82,15.15,12.05,12.74,-0.0124,1328263700
1/2009,14.69,15.51,12.50,12.90,-0.1201,1272188700
12/2008,13.46,15.68,12.38,14.66,0.0623,1330676100
11/2008,16.13,16.39,12.06,13.80,-0.1392,1534106100
10/2008,18.50,18.69,13.37,16.03,-0.1441,2340996600
9/2008,23.27,23.48,17.27,18.73,-0.18100000000000002,1623820500
8/2008,22.41,24.75,21.98,22.87,0.030600000000000002,1085887300
7/2008,21.27,22.62,19.71,22.19,0.0331,1379893000
6/2008,23.10,24.00,21.22,21.48,-0.0733,1135974600
5/2008,22.36,25.29,22.36,23.18,0.041299999999999996,1143725900
4/2008,21.70,23.02,20.50,22.26,0.051,1281765800
3/2008,20.06,22.45,19.44,21.18,0.060599999999999994,1283615658
2/2008,21.40,21.82,19.50,19.97,-0.0536,1461654100
1/2008,26.28,26.34,18.05,21.10,-0.2086,2466431600
12/2007,26.03,27.99,25.38,26.66,0.0222,943306700
11/2007,26.70,27.54,24.32,26.08,-0.0305,1368224000
10/2007,26.04,26.98,25.16,26.90,0.04019999999999999,1566472800
9/2007,25.87,27.71,24.60,25.86,0.0043,1186023200
8/2007,23.56,25.80,22.09,25.75,0.0902,1533784300
7/2007,23.88,26.52,23.53,23.62,-0.0051,1499628800
