"Date","Market Cap"
"1999-10-05",2861800000
"1999-10-06",2742500000
"1999-10-07",2732200000
"1999-10-10",2797000000
"1999-10-11",2760200000
"1999-10-12",2686600000
"1999-10-13",2649800000
"1999-10-14",2585000000
"1999-10-17",2539400000
"1999-10-18",2420200000
"1999-10-19",2502600000
"1999-10-20",2779300000
"1999-10-21",2751400000
"1999-10-24",2805800000
"1999-10-25",2816200000
"1999-10-26",2714600000
"1999-10-27",2797000000
"1999-10-28",2916300000
"1999-10-31",3001200000
"1999-11-01",3038100000
"1999-11-02",3149000000
"1999-11-03",3048500000
"1999-11-04",3140100000
"1999-11-07",3168200000
"1999-11-08",3112000000
"1999-11-09",3398700000
"1999-11-10",4174500000
"1999-11-11",3924800000
"1999-11-14",3777000000
"1999-11-15",3805100000
"1999-11-16",3944000000
"1999-11-17",3842000000
"1999-11-18",4009000000
"1999-11-21",3980900000
"1999-11-22",3961700000
"1999-11-23",4026700000
"1999-11-25",4091700000
"1999-11-28",4507000000
"1999-11-29",4174500000
"1999-11-30",4063700000
"1999-12-01",4507000000
"1999-12-02",4580900000
"1999-12-05",4645900000
"1999-12-06",4691700000
"1999-12-07",4396100000
"1999-12-08",4341500000
"1999-12-09",4322300000
"1999-12-12",4295700000
"1999-12-13",4082900000
"1999-12-14",4009000000
"1999-12-15",4359200000
"1999-12-16",4257200000
"1999-12-19",4322300000
"1999-12-20",4442000000
"1999-12-21",4257200000
"1999-12-22",4230600000.0000005
"1999-12-26",4276500000
"1999-12-27",4248399999.9999995
"1999-12-28",4202600000.0000005
"1999-12-29",4202600000.0000005
"1999-12-30",4276500000
"2000-01-02",4580900000
"2000-01-03",4322300000
"2000-01-04",4331100000
"2000-01-05",4728600000
"2000-01-06",4802500000
"2000-01-09",5171900000
"2000-01-10",5033000000
"2000-01-11",5356700000
"2000-01-12",5578300000
"2000-01-13",5966900000
"2000-01-17",5763000000
"2000-01-18",5791100000
"2000-01-19",5763000000
"2000-01-20",5597500000
"2000-01-23",5098100000
"2000-01-24",5910800000
"2000-01-25",5467500000
"2000-01-26",5458600000
"2000-01-27",5208900000
"2000-01-30",5319700000
"2000-01-31",5402500000
"2000-02-01",5328600000
"2000-02-02",5763000000
"2000-02-03",5698000000
"2000-02-06",6104400000
"2000-02-07",6114700000
"2000-02-08",6215200000
"2000-02-09",6280200000
